FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CBBTCUSD,"Coinbase Bitcoin, U.S. Dollars, Daily, Not Seasonally Adjusted"
,
"Frequency: Daily, 7-Day",
observation_date,CBBTCUSD
3/7/19,12022.61
4/7/19,11130.95
5/7/19,11038.61
6/7/19,11187.8
7/7/19,11478.9
8/7/19,12298.31
9/7/19,12559.46
10/7/19,12083.13
11/7/19,11323.95
12/7/19,11811.99
13/7/19,11408.1
14/7/19,10190.36
15/7/19,10855.56
16/7/19,9436
17/7/19,9708.55
18/7/19,10654.25
19/7/19,10548.04
20/7/19,10754.92
21/7/19,10633.54
22/7/19,10304.64
23/7/19,9833.19
24/7/19,9751.24
25/7/19,9880.67
26/7/19,9841.96
27/7/19,9468.92
28/7/19,9549.7
29/7/19,9503.32
30/7/19,9580
31/7/19,10099
1/8/19,10417.24
2/8/19,10533.07
3/8/19,10820.75
4/8/19,10997.82
5/8/19,11775.14
6/8/19,11440.08
7/8/19,12014.41
8/8/19,12017.89
9/8/19,11889
10/8/19,11283.82
11/8/19,11531.95
12/8/19,11387.38
13/8/19,10855.58
14/8/19,10105.34
15/8/19,10280.96
16/8/19,10368.83
17/8/19,10218.37
18/8/19,10309.04
19/8/19,10935.67
20/8/19,10770.99
21/8/19,10137.75
22/8/19,10088.89
23/8/19,10415.01
24/8/19,10156
25/8/19,10148.5
26/8/19,10373.75
27/8/19,10170.16
28/8/19,9710.38
29/8/19,9525
30/8/19,9580.6
31/8/19,9593.95
1/9/19,9769.64
2/9/19,10405.05
3/9/19,10628.46
4/9/19,10585.67
5/9/19,10574.27
6/9/19,10318.8
7/9/19,10484.87
8/9/19,10395.17
9/9/19,10310.01
10/9/19,10090.01
11/9/19,10169.49
12/9/19,10437.19
13/9/19,10381.91
14/9/19,10360.2
15/9/19,10306.65
16/9/19,10268.77
17/9/19,10185.14
18/9/19,10155.26
19/9/19,10304.94
20/9/19,10168.44
21/9/19,9982.39
22/9/19,10035
23/9/19,9683.89
24/9/19,8556.43
25/9/19,8446.57
26/9/19,8063
27/9/19,8193.98
28/9/19,8228.22
29/9/19,8063.06
30/9/19,8305.14
1/10/19,8323.43
2/10/19,8396
3/10/19,8241.25
4/10/19,8159.71
5/10/19,8152.99
6/10/19,7862.67
7/10/19,8224.82
8/10/19,8186.73
9/10/19,8600
10/10/19,8589.01
11/10/19,8263.64
12/10/19,8304.1
13/10/19,8280.01
14/10/19,8363
15/10/19,8156.52
16/10/19,7993
17/10/19,8077
18/10/19,7954.16
19/10/19,7965.27
20/10/19,8235.44
21/10/19,8214.58
22/10/19,8008.04
23/10/19,7473.42
24/10/19,7439.29
25/10/19,8704.85
26/10/19,9281.27
27/10/19,9570.58
28/10/19,9221.96
29/10/19,9431.27
30/10/19,9175.77
31/10/19,9146.75
1/11/19,9268
2/11/19,9320
3/11/19,9215.01
4/11/19,9414
5/11/19,9314.99
6/11/19,9343.11
7/11/19,9196.71
8/11/19,8758.69
9/11/19,8798.38
10/11/19,9036.82
11/11/19,8720.61
12/11/19,8823.65
13/11/19,8765.61
14/11/19,8630.01
15/11/19,8460
16/11/19,8488
17/11/19,8500.01
18/11/19,8160.73
19/11/19,8123.36
20/11/19,8082.96
21/11/19,7618.76
22/11/19,7296.45
23/11/19,7338.92
24/11/19,6906.25
25/11/19,7125
26/11/19,7155
27/11/19,7539.4
28/11/19,7413.05
29/11/19,7751.29
30/11/19,7551.7
1/12/19,7413.84
2/12/19,7315.09
3/12/19,7296
4/12/19,7185.57
5/12/19,7388.75
6/12/19,7560.76
7/12/19,7502.2
8/12/19,7520
9/12/19,7332.69
10/12/19,7215.69
11/12/19,7275.17
12/12/19,7194.19
13/12/19,7249.25
14/12/19,7059.55
15/12/19,7111
16/12/19,6877.04
17/12/19,6618.62
18/12/19,7309.12
19/12/19,7153.99
20/12/19,7189.87
21/12/19,7143.01
22/12/19,7550
23/12/19,7318.18
24/12/19,7259.87
25/12/19,7194.76
26/12/19,7195
27/12/19,7247.35
28/12/19,7303.7
29/12/19,7378.53
30/12/19,7191
31/12/19,7158.01
1/1/20,7174.32
2/1/20,6945.01
3/1/20,7335.54
4/1/20,7353.5
5/1/20,7348.69
6/1/20,7773.48
7/1/20,8169.95
8/1/20,8035.08
9/1/20,7813.78
10/1/20,8183.89
11/1/20,8002.89
12/1/20,8192.66
13/1/20,8109.62
14/1/20,8757.18
15/1/20,8831.86
16/1/20,8727.22
17/1/20,8875.81
18/1/20,8901
19/1/20,8710.41
